Freq,amp_in,amp_out,fase_out,scale_out,scale_in
100.0,0.5894722939,0.5487888455,-3.5999999046,0.5,0.5
143.8449888287663,0.5878344178,0.5487067699,-0.5187320113,0.5,0.5
206.913808111479,0.5899313092,0.5454946756,-5.2066116333,0.5,0.5
297.63514416313194,0.5923812389,0.5466212034,-6.4439144135,0.5,0.5
428.13323987193957,0.5898454189,0.5474834442,-7.409948349,0.5,0.5
615.8482110660267,0.5915096998,0.5438704491,-10.6403942108,0.5,0.5
885.8667904100823,0.5928906202,0.5385902524,-15.2920351028,0.5,0.5
1274.2749857031336,0.5983564854,0.5279842615,-21.0419311523,0.5,0.5
1832.9807108324355,0.607444942,0.5088096857,-28.2998199463,0.5,0.5
2636.650898730358,0.625267446,0.4725718498,-35.6200523376,0.5,0.5
3792.69019073225,0.6523391604,0.4143564999,-41.707321167,0.5,1.0
5455.594781168515,0.6724128723,0.343028307,-52.4347839355,0.5,1.0
7847.5997035146065,0.694932878,0.2596125007,-66.3009414673,0.2,1.0
11288.378916846883,0.7085270882,0.1812303215,-69.6512908936,0.2,1.0
16237.76739188721,0.715076685,0.1070180461,-79.8058319092,0.1,1.0
23357.21469090121,0.7166928053,0.024560051,42.1962585449,0.05,1.0
33598.18286283781,0.7126749158,0.1313770264,-68.0027084351,0.2,1.0
48329.30238571752,0.7162264585,0.0463529862,-83.2369918823,0.05,1.0
69519.27961775605,0.6998529434,0.0996172726,25.1046028137,0.1,1.0
100000.0,0.7180038691,0.0170804523,129.1199951172,0.02,1.0
